date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2023-03-31,MDLZ,USD,0001103982,2023-03-31,2023-03-31 00:00:00,2023,Q1,1917000000,0,1917000000,4312000000,3627000000,2815000000,12671000000,9788000000,23604000000,19810000000,43414000000,3397000000,451000000,3065000000,60115000000,0,72786000000,7885000000,3646000000,0,0,7000000000,18531000000,19064000000,0,3648000000,3269000000,25981000000,0,508000000,44512000000,0,0,33040000000,-10814000000,6002000000,28228000000,28228000000,72786000000,46000000,72786000000,3397000000,22710000000,20793000000,,
2022-12-31,MDLZ,USD,0001103982,2023-02-03,2023-02-03 12:06:38,2022,Q4,1923000000,0,1923000000,3907000000,3381000000,880000000,10091000000,9680000000,23450000000,19710000000,43160000000,4879000000,473000000,2878000000,61070000000,0,71161000000,7562000000,2682000000,0,0,6487000000,16731000000,20765000000,0,3437000000,3308000000,27510000000,0,514000000,44241000000,0,0,31481000000,-10947000000,6349000000,26883000000,26883000000,71161000000,37000000,71161000000,4879000000,23447000000,21524000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398223000006/0001103982-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398223000006/mdlz-20221231.htm
2022-09-30,MDLZ,USD,0001103982,2022-11-01,2022-11-01 16:22:56,2022,Q3,2177000000,0,2177000000,3503000000,3393000000,837000000,9910000000,9300000000,22387000000,19313000000,41700000000,4498000000,482000000,2146000000,58126000000,0,68036000000,6726000000,1853000000,0,482000000,5260000000,14321000000,20334000000,3401000000,3401000000,-91000000,27045000000,0,523000000,41366000000,0,0,31437000000,-11231000000,6435000000,26641000000,26641000000,68036000000,29000000,68036000000,4498000000,22187000000,20010000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000018/0001103982-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000018/mdlz-20220930.htm
2022-06-30,MDLZ,USD,0001103982,2022-07-26,2022-07-26 16:22:44,2022,Q2,1924000000,0,1924000000,3182000000,3038000000,1066000000,9210000000,9379000000,22103000000,18339000000,40442000000,4655000000,551000000,1777000000,56804000000,0,66014000000,6787000000,1351000000,0,551000000,4889000000,13578000000,18350000000,3580000000,3580000000,-627000000,24883000000,0,489000000,38461000000,0,0,31431000000,-10638000000,6718000000,27511000000,27511000000,66014000000,42000000,66014000000,4655000000,19701000000,17777000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000012/0001103982-22-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000012/mdlz-20220630.htm
2022-03-31,MDLZ,USD,0001103982,2022-04-26,2022-04-26 16:15:30,2022,Q1,1946000000,0,1946000000,3692000000,2838000000,1143000000,9619000000,9668000000,22618000000,18829000000,41447000000,5255000000,561000000,1444000000,58375000000,0,67994000000,7241000000,1360000000,0,0,5502000000,14103000000,18852000000,0,3521000000,3302000000,25675000000,0,508000000,39778000000,0,0,31163000000,-10425000000,7423000000,28161000000,28161000000,67994000000,55000000,67994000000,5255000000,20212000000,18266000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000007/0001103982-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000007/mdlz-20220331.htm
2021-12-31,MDLZ,USD,0001103982,2022-02-04,2022-02-04 13:40:11,2021,Q4,3546000000,0,3546000000,3188000000,2708000000,900000000,10342000000,9271000000,21978000000,18291000000,40269000000,5289000000,541000000,1380000000,56750000000,0,67092000000,6730000000,1962000000,0,0,5316000000,14008000000,18009000000,0,3444000000,3308000000,24761000000,0,459000000,38769000000,0,0,30806000000,-10624000000,8087000000,28269000000,28269000000,67092000000,54000000,67092000000,5289000000,19971000000,16425000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/0001103982-22-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/mdlz-20211231.htm
2021-09-30,MDLZ,USD,0001103982,2021-11-02,2021-11-02 16:17:56,2021,Q3,3401000000,0,3401000000,3329000000,2922000000,803000000,10455000000,9304000000,22029000000,18413000000,40442000000,5269000000,633000000,1214000000,56862000000,0,67317000000,6484000000,2295000000,0,0,5480000000,14259000000,18168000000,0,3388000000,16525000000,25304000000,0,476000000,39563000000,0,0,30305000000,-10904000000,8297000000,27698000000,27698000000,67317000000,56000000,67317000000,5269000000,20463000000,17062000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000018/0001103982-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000018/mdlz-20210930.htm
2021-06-30,MDLZ,USD,0001103982,2021-07-27,2021-07-27 16:50:04,2021,Q2,1938000000,0,1938000000,2913000000,2925000000,878000000,8654000000,9510000000,22270000000,18691000000,40961000000,5586000000,723000000,1043000000,57823000000,0,66477000000,6375000000,1969000000,0,0,5741000000,14085000000,17535000000,0,3436000000,16428000000,24772000000,0,489000000,38857000000,0,0,29538000000,-10572000000,8577000000,27543000000,27543000000,66477000000,77000000,66477000000,5586000000,19504000000,17566000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000013/0001103982-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000013/mdlz-20210630.htm
2021-03-31,MDLZ,USD,0001103982,2021-04-28,2021-04-27 18:10:08,2021,Q1,2028000000,0,2028000000,3315000000,2635000000,865000000,8843000000,9375000000,21945000000,18527000000,40472000000,5916000000,725000000,1018000000,57506000000,0,66349000000,6372000000,2569000000,0,0,5609000000,14550000000,17408000000,0,3353000000,15709000000,24650000000,0,447000000,39200000000,0,0,28903000000,-10746000000,8918000000,27075000000,27075000000,66349000000,74000000,66349000000,5916000000,19977000000,17949000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000008/0001103982-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000008/mdlz-20210331.htm
2020-12-31,MDLZ,USD,0001103982,2021-02-05,2021-02-05 10:23:42,2020,Q4,3619000000,0,3619000000,2954000000,2647000000,759000000,9979000000,9664000000,21895000000,18482000000,40377000000,6036000000,790000000,964000000,57831000000,0,67810000000,6209000000,2770000000,0,0,6180000000,15159000000,17746000000,0,3346000000,16018000000,24997000000,0,726000000,40156000000,0,0,28402000000,-10690000000,9866000000,27578000000,27578000000,67810000000,76000000,67810000000,6036000000,20516000000,16897000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/0001103982-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/mdlz-20201231.htm
