date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2023-03-31,MDLZ,USD,0001103982,2023-03-31,2023-03-31 00:00:00,2023,Q1,9166000000,5720000000,3446000000,0.3759546149,0,0,0,1855000000,39000000,1894000000,7614000000,0,95000000,369000000,1874000000,0.2044512328,1505000000,0.1641937595,720000000,2225000000,0.2427449269,658000000,1567000000,0.1709578878,1.14,1.14,1372000000,1379000000,,
2022-12-31,MDLZ,USD,0001103982,2023-02-03,2023-02-03 12:06:38,2022,Q4,8695000000,5620000000,3075000000,0.3536515239,0,0,0,2131000000,36000000,2167000000,7787000000,0,86000000,134000000,968000000,0.1113283496,834000000,0.0959171938,-62000000,772000000,0.088786659,270000000,583000000,0.0670500288,0.43,0.42,1368000000,1375000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398223000006/0001103982-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398223000006/mdlz-20221231.htm
2022-09-30,MDLZ,USD,0001103982,2022-11-01,2022-11-01 16:22:56,2022,Q3,7763000000,5150000000,2613000000,0.3365966765,0,0,0,1884000000,32000000,1916000000,7066000000,0,114000000,362000000,1041000000,0.1340976427,679000000,0.0874661858,-41000000,638000000,0.0821847224,184000000,532000000,0.0685302074,0.39,0.39,1372000000,1379000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000018/0001103982-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000018/mdlz-20220930.htm
2022-06-30,MDLZ,USD,0001103982,2022-07-26,2022-07-26 16:22:44,2022,Q2,7274000000,4633000000,2641000000,0.3630739621,0,0,0,1676000000,32000000,1708000000,6341000000,0,89000000,300000000,1227000000,0.1686829805,927000000,0.127440198,-68000000,859000000,0.1180918339,201000000,747000000,0.1026945285,0.54,0.54,1382000000,1389000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000012/0001103982-22-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000012/mdlz-20220630.htm
2022-03-31,MDLZ,USD,0001103982,2022-04-26,2022-04-26 16:15:30,2022,Q1,7764000000,4781000000,2983000000,0.3842091705,0,0,0,1693000000,32000000,1725000000,6506000000,0,91000000,524000000,1618000000,0.2083977331,1094000000,0.1409067491,-135000000,959000000,0.1235188047,210000000,855000000,0.1101236476,0.62,0.61,1389000000,1398000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000007/0001103982-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000007/mdlz-20220331.htm
2021-12-31,MDLZ,USD,0001103982,2022-02-04,2022-02-04 13:40:11,2021,Q4,7658000000,4825000000,2833000000,0.3699399321,0,0,0,1670000000,32000000,1702000000,6527000000,0,90000000,447000000,1607000000,0.2098459128,1160000000,0.1514755811,-17000000,1143000000,0.1492556803,238000000,905000000,0.1181770697,0.65,0.64,1396000000,1405000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/0001103982-22-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/mdlz-20211231.htm
2021-09-30,MDLZ,USD,0001103982,2021-11-02,2021-11-02 16:17:56,2021,Q3,7182000000,4358000000,2824000000,0.3932052353,0,0,0,1436000000,32000000,1468000000,5826000000,0,87000000,562000000,1960000000,0.2729044834,1398000000,0.1946532999,-149000000,1249000000,0.1739069897,342000000,1258000000,0.1262879421,0.65,0.64,1399000000,1408000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000018/0001103982-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000018/mdlz-20210930.htm
2021-06-30,MDLZ,USD,0001103982,2021-07-27,2021-07-27 16:50:04,2021,Q2,6642000000,4011000000,2631000000,0.3961156278,0,0,0,1593000000,32000000,1625000000,5636000000,0,90000000,840000000,1846000000,0.2779283348,1006000000,0.1514604035,-138000000,868000000,0.1306835291,398000000,1078000000,0.0707618187,0.33,0.33,1407000000,1416000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000013/0001103982-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000013/mdlz-20210630.htm
2021-03-31,MDLZ,USD,0001103982,2021-04-28,2021-04-27 18:10:08,2021,Q1,7238000000,4272000000,2966000000,0.4097817077,0,0,0,1564000000,38000000,1602000000,5874000000,0,98000000,272000000,1555000000,0.2148383531,1283000000,0.1772589113,-174000000,1109000000,0.1532191213,212000000,961000000,0.1327714838,0.68,0.68,1412000000,1422000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000008/0001103982-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000008/mdlz-20210331.htm
2020-12-31,MDLZ,USD,0001103982,2021-02-05,2021-02-05 10:23:42,2020,Q4,7298000000,4426000000,2872000000,0.3935324747,0,0,0,1624000000,51000000,1675000000,6101000000,0,101000000,629000000,1904000000,0.2608933955,1275000000,0.1747053987,-334000000,941000000,0.1289394355,344000000,597000000,0.0818032338,0.42,0.41,1429000000,1439000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/0001103982-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/mdlz-20201231.htm
2020-09-30,MDLZ,USD,0001103982,2020-11-03,2020-11-02 18:11:04,2020,Q3,6665000000,3873000000,2792000000,0.4189047262,0,0,0,1484000000,50000000,1534000000,5407000000,0,104000000,588000000,1899000000,0.2849212303,1311000000,0.1966991748,-227000000,1084000000,0.1626406602,391000000,1119000000,0.103975994,0.48,0.48,1432000000,1442000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000014/0001103982-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000014/mdlz-20200930.htm
