date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2023-03-25,PEP,USD,0000077476,2023-04-25,2023-04-24 17:57:25,2023,Q1,4770000000,434000000,5204000000,10469000000,5697000000,1057000000,22427000000,24228000000,18089000000,15523000000,33612000000,3123000000,4211000000,5441000000,70615000000,0,93042000000,21556000000,4281000000,0,-21556000000,21556000000,25837000000,37486000000,0,4039000000,8505000000,50030000000,0,0,75867000000,0,23000000,68142000000,-15601000000,-35522000000,17042000000,17042000000,93042000000,133000000,93042000000,3557000000,41767000000,36997000000,https://www.sec.gov/Archives/edgar/data/77476/000007747623000023/0000077476-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000023/pep-20230325.htm
2022-12-31,PEP,USD,0000077476,2023-02-09,2023-02-08 18:06:37,2022,Q4,4954000000,394000000,5348000000,10163000000,5222000000,806000000,21539000000,24291000000,18202000000,15586000000,33788000000,3073000000,4204000000,5292000000,70648000000,0,92187000000,23371000000,3414000000,0,-4390000000,4390000000,26785000000,35657000000,0,4133000000,8339000000,48129000000,0,483000000,74914000000,0,23000000,67800000000,-15302000000,-35372000000,17149000000,17149000000,92187000000,124000000,92187000000,3467000000,39071000000,34117000000,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/0000077476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/pep-20221231.htm
2022-09-03,PEP,USD,0000077476,2022-10-12,2022-10-11 17:56:11,2022,Q3,6415000000,327000000,6742000000,10739000000,5019000000,1043000000,23543000000,22800000000,18388000000,17152000000,35540000000,3224000000,4324000000,5030000000,70918000000,0,94461000000,22544000000,3109000000,0,4324000000,-4324000000,25653000000,36136000000,4724000000,4724000000,4089000000,49673000000,0,0,75326000000,0,23000000,68872000000,-14743000000,-35175000000,18977000000,18977000000,94461000000,158000000,94461000000,3551000000,39245000000,32830000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000052/0000077476-22-000052-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000052/pep-20220903.htm
2022-06-11,PEP,USD,0000077476,2022-07-12,2022-07-11 17:56:41,2022,Q2,5405000000,287000000,5692000000,10498000000,5287000000,1156000000,22633000000,22694000000,18547000000,17091000000,35638000000,3519000000,4345000000,4274000000,70470000000,0,93103000000,21191000000,6032000000,0,4345000000,-4345000000,27223000000,33247000000,4838000000,4838000000,4283000000,47206000000,0,0,74429000000,0,23000000,67763000000,-14416000000,-34817000000,18553000000,18553000000,93103000000,121000000,93103000000,3806000000,39279000000,33874000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000043/0000077476-22-000043-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000043/pep-20220611.htm
2022-03-19,PEP,USD,0000077476,2022-04-26,2022-04-25 17:51:15,2022,Q1,6561000000,343000000,6904000000,9424000000,4762000000,1252000000,22342000000,22017000000,18112000000,18100000000,36212000000,3595000000,4301000000,4495000000,70620000000,0,92962000000,20365000000,5459000000,0,0,0,25824000000,34590000000,0,5072000000,9156000000,48818000000,0,0,74642000000,0,23000000,67934000000,-15343000000,-34412000000,18202000000,18202000000,92962000000,118000000,92962000000,3938000000,40049000000,33488000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000020/0000077476-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000020/pep-20220319.htm
2021-12-25,PEP,USD,0000077476,2022-02-10,2022-02-09 18:03:39,2021,Q4,5596000000,392000000,5988000000,8680000000,4347000000,2768000000,21783000000,24427000000,18381000000,18665000000,37046000000,2627000000,4310000000,2184000000,70594000000,0,92377000000,9834000000,4754000000,0,0,11632000000,26220000000,36026000000,0,4826000000,9154000000,50006000000,0,446000000,76226000000,0,23000000,65165000000,-14898000000,-34247000000,16043000000,16043000000,76226000000,108000000,76226000000,3019000000,40780000000,35184000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/pep-20211225.htm
2021-09-04,PEP,USD,0000077476,2021-10-05,2021-10-04 17:41:11,2021,Q3,6506000000,344000000,6850000000,9545000000,4364000000,2951000000,23710000000,21257000000,18531000000,18875000000,37406000000,2791000000,4357000000,3733000000,69544000000,0,93254000000,20060000000,4234000000,0,0,783000000,25077000000,37023000000,0,4529000000,10635000000,52187000000,0,0,77264000000,0,23000000,65336000000,-15125000000,-34362000000,15872000000,15872000000,77264000000,118000000,77264000000,3135000000,41257000000,34751000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000050/0000077476-21-000050-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000050/pep-20210904.htm
2021-06-12,PEP,USD,0000077476,2021-07-13,2021-07-12 17:37:10,2021,Q2,5449000000,328000000,5777000000,9722000000,5006000000,1092000000,21597000000,21619000000,18893000000,19424000000,38317000000,2774000000,4370000000,3708000000,70788000000,0,92385000000,19359000000,4264000000,0,0,0,23623000000,38034000000,0,4625000000,10705000000,53364000000,0,0,76987000000,0,23000000,64605000000,-14859000000,-34470000000,15299000000,15299000000,76987000000,99000000,76987000000,3102000000,42298000000,36849000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000039/0000077476-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000039/pep-20210612.htm
2021-03-20,PEP,USD,0000077476,2021-04-15,2021-04-14 17:37:04,2021,Q1,5661000000,964000000,6625000000,8885000000,4556000000,1130000000,21196000000,21249000000,18779000000,19331000000,38110000000,2777000000,4370000000,3522000000,70028000000,0,91224000000,18019000000,4674000000,0,0,0,22693000000,38991000000,0,4491000000,10996000000,54478000000,0,0,77171000000,0,23000000,63740000000,-15246000000,-34570000000,13947000000,13947000000,77171000000,106000000,77171000000,3741000000,43665000000,38004000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000018/0000077476-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000018/pep-20210320.htm
2020-12-26,PEP,USD,0000077476,2021-02-11,2021-02-10 17:41:49,2020,Q4,8185000000,1366000000,9551000000,8404000000,4172000000,874000000,23001000000,23039000000,18757000000,19315000000,38072000000,2792000000,4372000000,1642000000,69917000000,0,92918000000,8853000000,4240000000,0,0,10279000000,23372000000,40370000000,0,4284000000,11340000000,55994000000,0,460000000,79366000000,0,23000000,63443000000,-15476000000,-34536000000,13454000000,13454000000,79366000000,98000000,79366000000,4158000000,44610000000,36425000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/0000077476-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/pep-20201226.htm
