date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2023-03-25,PEP,USD,0000077476,2023-04-25,2023-04-24 17:57:25,2023,Q1,17846000000,7988000000,9858000000,0.552392693,0,0,0,7229000000,0,7229000000,15217000000,0,200000000,767000000,3396000000,0.1902947439,2629000000,0.1473159251,-139000000,2490000000,0.1395270649,546000000,1932000000,0.108259554,1.4,1.4,1378000000,1384000000,https://www.sec.gov/Archives/edgar/data/77476/000007747623000023/0000077476-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000023/pep-20230325.htm
2022-12-31,PEP,USD,0000077476,2023-02-09,2023-02-08 18:06:37,2022,Q4,27996000000,13420000000,14576000000,0.5206458065,0,0,0,12197000000,0,12197000000,25617000000,0,273000000,1080000000,2343000000,0.0836905272,1263000000,0.0451135877,-757000000,506000000,0.0180740106,-29000000,518000000,0.0185026432,0.38,0.37,1377000000,1385000000,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/0000077476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/pep-20221231.htm
2022-09-03,PEP,USD,0000077476,2022-10-12,2022-10-11 17:56:11,2022,Q3,21971000000,10308000000,11663000000,0.5308361021,0,0,0,8295000000,0,8295000000,18603000000,0,190000000,833000000,4186000000,0.1905238724,3353000000,0.152610259,-154000000,3199000000,0.1456010195,475000000,2702000000,0.1229802922,1.96,1.95,1380000000,1387000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000052/0000077476-22-000052-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000052/pep-20220903.htm
2022-06-11,PEP,USD,0000077476,2022-07-12,2022-07-11 17:56:41,2022,Q2,20225000000,9415000000,10810000000,0.534487021,0,0,0,7387000000,0,7387000000,16802000000,0,236000000,760000000,4181000000,0.2067243511,3421000000,0.1691470952,-1582000000,1839000000,0.0909270705,393000000,1429000000,0.0706551298,1.03,1.03,1382000000,1389000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000043/0000077476-22-000043-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000043/pep-20220611.htm
2022-03-19,PEP,USD,0000077476,2022-04-26,2022-04-25 17:51:15,2022,Q1,16200000000,7433000000,8767000000,0.5411728395,0,0,0,6822000000,0,6822000000,14255000000,0,240000000,658000000,2737000000,0.1689506173,2079000000,0.1283333333,3082000000,5161000000,0.3185802469,888000000,4261000000,0.2630246914,3.08,3.06,1383000000,1391000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000020/0000077476-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000020/pep-20220319.htm
2021-12-25,PEP,USD,0000077476,2022-02-10,2022-02-09 18:03:39,2021,Q4,25248000000,12130000000,13118000000,0.5195659062,0,0,0,10556000000,0,10556000000,22686000000,0,1132000000,1491000000,4053000000,0.1605275665,2562000000,0.101473384,-974000000,1588000000,0.062896071,247000000,1341000000,0.0531131179,0.97,0.96,1383000000,1390000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/pep-20211225.htm
2021-09-04,PEP,USD,0000077476,2021-10-05,2021-10-04 17:41:11,2021,Q3,20189000000,9394000000,10795000000,0.5346971123,0,0,0,7636000000,0,7636000000,17030000000,0,232000000,749000000,3908000000,0.1935707564,3159000000,0.1564713458,-114000000,3045000000,0.1508247065,802000000,2224000000,0.1101589975,1.61,1.6,1382000000,1389000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000050/0000077476-21-000050-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000050/pep-20210904.htm
2021-06-12,PEP,USD,0000077476,2021-07-13,2021-07-12 17:37:10,2021,Q2,19217000000,8880000000,10337000000,0.5379091429,0,0,0,7208000000,0,7208000000,16088000000,0,241000000,765000000,3894000000,0.2026330853,3129000000,0.1628245824,-115000000,3014000000,0.1568402977,642000000,2358000000,0.122703856,1.71,1.7,1382000000,1388000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000039/0000077476-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000039/pep-20210612.htm
2021-03-20,PEP,USD,0000077476,2021-04-15,2021-04-14 17:37:04,2021,Q1,14820000000,6671000000,8149000000,0.5498650472,0,0,0,5837000000,0,5837000000,12508000000,0,258000000,671000000,2983000000,0.2012820513,2312000000,0.1560053981,-138000000,2174000000,0.1466936572,451000000,1714000000,0.1156545209,1.24,1.24,1380000000,1387000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000018/0000077476-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000018/pep-20210320.htm
2020-12-26,PEP,USD,0000077476,2021-02-11,2021-02-10 17:41:49,2020,Q4,22455000000,10426000000,12029000000,0.5356936094,0,0,0,9203000000,0,9203000000,19629000000,0,339000000,673000000,3499000000,0.1558227566,2826000000,0.1258517034,-469000000,2357000000,0.1049654865,498000000,1845000000,0.0821643287,1.34,1.33,1380000000,1388000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/0000077476-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/pep-20201226.htm
