date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,otherIncome
2008-06-14,PEP,USD,0000077476,2008-07-23,2008-07-23 16:33:28,2008,Q2,10945000000.0,5078000000.0,5867000000.0,0.5360438556,0.0,3658000000.0,6000000.0,3664000000.0,12000000.0,3676000000.0,8754000000.0,0.0,-132000000,507000000,2692000000.0,0.245957058,2185000000.0,0.1996345363,138000000,2323000000.0,0.2122430333,618000000.0,1699000000.0,0.1552306989,1.07,1.05,1582000000.0,1612000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312508156305/0001193125-08-156305-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312508156305/d10q.htm,513000000
2008-09-06,PEP,USD,0000077476,2008-10-15,2008-10-15 16:46:57,2008,Q3,11244000000.0,5268000000.0,5976000000.0,0.5314834578,0.0,3972000000.0,7000000.0,3979000000.0,6000000.0,3985000000.0,9253000000.0,0.0,-142000000,519000000,2503000000.0,0.2226076129,1984000000.0,0.176449662,149000000,2133000000.0,0.189701174,550000000.0,1576000000.0,0.1401636428,1.01,0.99,1564000000.0,1593000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312508211024/0001193125-08-211024-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312508211024/d10q.htm,526000000
2008-12-27,PEP,USD,0000077476,2009-02-19,2009-02-19 16:40:23,2008,Q4,12729000000.0,6171000000.0,6558000000.0,0.5152015084,0.0,5317000000.0,7000000.0,5324000000.0,14000000.0,5338000000.0,11509000000.0,0.0,201000000,287000000,1500000000.0,0.1178411501,1213000000.0,0.0952942101,-194000000,1019000000.0,0.0800534213,293000000.0,719000000.0,0.0564851913,0.46,0.46,1578000000.0,1578000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/0001193125-09-033126-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/d10k.htm,294000000
2009-03-21,PEP,USD,0000077476,2009-04-22,2009-04-22 16:32:34,2009,Q1,8263000000.0,3744000000.0,4519000000.0,0.5468958006,0.0,2921000000.0,0.0,2921000000.0,10000000.0,2931000000.0,6675000000.0,0.0,98000000,333000000,1921000000.0,0.2324821493,1588000000.0,0.1921820162,-73000000,1515000000.0,0.1833474525,374000000.0,1135000000.0,0.1373593126,0.73,0.72,1555000000.0,1570000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312509084604/0001193125-09-084604-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509084604/d10q.htm,358000000
2009-06-13,PEP,USD,0000077476,2009-07-22,2009-07-22 16:05:51,2009,Q2,10592000000.0,4881000000.0,5711000000.0,0.5391805136,0.0,3507000000.0,0.0,3507000000.0,14000000.0,3521000000.0,8402000000.0,28000000.0,101000000,510000000,2700000000.0,0.2549093656,2190000000.0,0.2067598187,46000000,2236000000.0,0.211102719,568000000.0,1660000000.0,0.1567220544,1.07,1.06,1555000000.0,1572000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312509153099/0001193125-09-153099-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509153099/d10q.htm,657000000
2009-09-05,PEP,USD,0000077476,2009-10-08,2009-10-08 16:10:28,2009,Q3,11080000000.0,5181000000.0,5899000000.0,0.532400722,0.0,3649000000.0,0.0,3649000000.0,18000000.0,3667000000.0,8848000000.0,16000000.0,86000000,544000000,2776000000.0,0.2505415162,2232000000.0,0.2014440433,76000000,2308000000.0,0.2083032491,575000000.0,1717000000.0,0.1549638989,1.1,1.09,1558000000.0,1577000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312509205617/0001193125-09-205617-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509205617/d10q.htm,706000000
2009-12-26,PEP,USD,0000077476,2010-02-22,2010-02-22 16:19:59,2009,Q4,13297000000.0,6293000000.0,7004000000.0,0.5267353538,0.0,4949000000.0,0.0,4949000000.0,21000000.0,4970000000.0,11263000000.0,23000000.0,112000000,647000000,2681000000.0,0.2016244266,2034000000.0,0.1529668346,-14000000,2020000000.0,0.1519139656,583000000.0,1434000000.0,0.1078438746,0.9,0.9,1589000000.0,1589000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/0001193125-10-036385-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/d10k.htm,745000000
2010-03-20,PEP,USD,0000077476,2010-04-23,2010-04-23 07:46:09,2010,Q1,9368000000.0,4463000000.0,4905000000.0,0.5235909479,0.0,3728000000.0,321000000.0,4049000000.0,16000000.0,4065000000.0,8528000000.0,6000000.0,154000000,372000000,1927000000.0,0.2057002562,1555000000.0,0.1659906063,-154000000,1401000000.0,0.1495516652,-33000000.0,1430000000.0,0.15264731,0.9,0.89,1582000000.0,1606000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/0001193125-10-090778-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/d10q.htm,372000000
2010-06-12,PEP,USD,0000077476,2010-07-20,2010-07-20 17:05:46,2010,Q2,14801000000.0,6745000000.0,8056000000.0,0.5442875481,0.0,5408000000.0,155000000.0,5563000000.0,32000000.0,5595000000.0,12340000000.0,2000000.0,172000000,594000000,3055000000.0,0.2064049726,2461000000.0,0.1662725492,-161000000,2300000000.0,0.1553949057,687000000.0,1603000000.0,0.108303493,1.0,0.98,1608000000.0,1634000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/0001193125-10-161855-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/d10q.htm,605000000
2010-09-04,PEP,USD,0000077476,2010-10-07,2010-10-07 16:25:50,2010,Q3,15514000000.0,7008000000.0,8506000000.0,0.5482789738,0.0,5607000000.0,69000000.0,5676000000.0,30000000.0,5706000000.0,12714000000.0,18000000.0,169000000,631000000,3431000000.0,0.2211550857,2800000000.0,0.1804821452,-141000000,2659000000.0,0.17139358,729000000.0,1922000000.0,0.1238881011,1.21,1.19,1593000000.0,1618000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/0001193125-10-225896-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/d10q.htm,659000000
2010-12-25,PEP,USD,0000077476,2011-02-18,2011-02-18 16:57:00,2010,Q4,18155000000.0,8359000000.0,9796000000.0,0.5395758744,0.0,7263000000.0,263000000.0,7526000000.0,39000000.0,7565000000.0,15924000000.0,42000000.0,408000000,800000000,3031000000.0,0.1669512531,2231000000.0,0.1228862572,-359000000,1872000000.0,0.1031120903,511000000.0,1365000000.0,0.0751858992,0.85,0.85,1607000000.0,1607000000.0,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/0001193125-11-040427-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/d10k.htm,849000000
